"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
3759801,20,386, 8.5839838E+02, 4.8681638E+02, 1.0742187E+01, 2.3969467E+00,-1.0992366E+00,-2.8778627E+00,-7.3650002E+01,-3.7050003E+01,-1.5270001E+02, 5.3285023E+01, 4.8520000E+01, 9.0608141E+04, 1.0748047E+01, 6.4899999E-01, 0.0000000E+00, 6.1699998E-01,0,0,
3760957,20,386, 8.6914056E+02, 4.8046872E+02, 1.9042969E+01, 1.6183206E+00,-8.6259544E-01,-3.1297710E+00,-7.5300003E+01,-3.7200001E+01,-1.5390001E+02, 5.3093330E+01, 4.8520000E+01, 9.0609375E+04, 1.0748047E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
3762113,20,386, 8.4814447E+02, 4.8583981E+02, 9.2773438E+00, 9.9236643E-01, 2.4885497E+00,-1.2824427E+00,-7.5600006E+01,-3.7950001E+01,-1.5390001E+02, 5.3285023E+01, 4.8529999E+01, 9.0605688E+04, 1.0748047E+01, 6.4899999E-01, 0.0000000E+00, 6.1699998E-01,0,0,
3763269,20,386, 8.6816400E+02, 4.8974606E+02, 1.4160155E+01, 2.3587787E+00,-1.2748091E+00,-1.3358779E+00,-7.3200005E+01,-3.9300003E+01,-1.5480000E+02, 5.3189175E+01, 4.8529999E+01, 9.0608859E+04, 1.0748047E+01, 6.4899999E-01, 0.0000000E+00, 6.0900003E-01,0,0,
3764425,20,386, 8.6230463E+02, 4.7363278E+02, 1.4160155E+01, 1.6946565E+00,-9.3129772E-01,-2.1145039E+00,-7.4700005E+01,-3.6600002E+01,-1.5450000E+02, 5.2949562E+01, 4.8529999E+01, 9.0607969E+04, 1.0785156E+01, 6.4899999E-01, 0.0000000E+00, 6.0900003E-01,0,0,
3765581,20,386, 8.6474603E+02, 4.9414059E+02, 1.3183593E+01,-5.4198474E-01, 1.6259542E+00,-1.0839695E+00,-7.4100006E+01,-3.7200001E+01,-1.5360001E+02, 5.3141254E+01, 4.8529999E+01, 9.0607250E+04, 1.0748047E+01, 6.4899999E-01, 0.0000000E+00, 6.0900003E-01,0,0,
3766737,20,386, 8.5888666E+02, 4.9023434E+02, 3.0761717E+01, 1.7099236E+00, 1.3206106E+00,-4.8854962E-01,-7.3650002E+01,-3.9600002E+01,-1.5345001E+02, 5.2949562E+01, 4.8529999E+01, 9.0603594E+04, 1.0748047E+01, 6.4899999E-01, 0.0000000E+00, 6.1699998E-01,0,0,
3767898,20,387, 8.6035150E+02, 4.7753903E+02, 1.5624999E+01, 1.1221374E+00,-1.8625954E+00,-3.0687022E+00,-7.2300003E+01,-3.6450001E+01,-1.5390001E+02, 5.2949562E+01, 4.8529999E+01, 9.0603914E+04, 1.0760742E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
3769054,20,387, 8.6474603E+02, 4.7900388E+02, 1.6113281E+01, 2.6717559E-01, 9.5419848E-01,-3.5954199E+00,-7.3650002E+01,-3.7800003E+01,-1.5240001E+02, 5.2949562E+01, 4.8540001E+01, 9.0602703E+04, 1.0723633E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
3770213,20,387, 8.6425775E+02, 4.8779294E+02, 2.4902342E+01, 6.0305345E-01,-1.7251909E+00,-2.5954199E+00,-7.1700005E+01,-3.7200001E+01,-1.5420001E+02, 5.3093330E+01, 4.8540001E+01, 9.0602000E+04, 1.0723633E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
