"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
5310229,20,420, 7.8613275E+02, 3.6230466E+02, 4.1503902E+01, 2.2900763E-01, 3.0839694E+00,-3.3587787E+00,-7.6350006E+01,-2.5200001E+01,-1.5915001E+02, 5.4578938E+01, 5.0209999E+01, 9.0602922E+04, 9.2246094E+00, 6.5700001E-01, 0.0000000E+00, 6.0900003E-01,0,0,
5311386,20,420, 7.6904291E+02, 1.0732422E+03, 7.4218750E+01, 8.3969468E-01,-2.8854961E+00,-4.6717558E+00,-7.7250000E+01,-2.7300001E+01,-1.5825000E+02, 5.4674786E+01, 5.0220001E+01, 9.0609938E+04, 9.2246094E+00, 6.4899999E-01, 0.0000000E+00, 6.1699998E-01,0,0,
5312543,20,420, 8.1201166E+02, 6.9628900E+02, 4.8828121E+01,-7.3282444E-01, 0.0000000E+00,-1.5442748E+01,-7.6350006E+01,-2.5950001E+01,-1.5630000E+02, 5.4914398E+01, 5.0220001E+01, 9.0610828E+04, 9.2119141E+00, 6.5700001E-01, 0.0000000E+00, 6.1000001E-01,0,0,
5313701,20,420, 6.2792969E+02, 1.0727539E+03,-9.5214836E+01, 3.9389312E+00, 9.1603053E-01, 5.7862597E+00,-7.6650002E+01,-2.4900002E+01,-1.5600000E+02, 5.5058167E+01, 5.0220001E+01, 9.0605188E+04, 9.2119141E+00, 6.4800000E-01, 0.0000000E+00, 6.0200000E-01,0,0,
5314859,20,420, 7.0898431E+02, 9.4921869E+02,-1.0449218E+02, 1.0152671E+00, 3.3664122E+00, 5.8625956E+00,-7.4700005E+01,-2.5800001E+01,-1.5765001E+02, 5.4914398E+01, 5.0220001E+01, 9.0603609E+04, 9.2373047E+00, 6.4800000E-01, 0.0000000E+00, 6.0200000E-01,0,0,
5316016,20,420, 8.3251947E+02, 9.6386713E+02, 1.3671874E+01, 1.2748091E+00,-4.0992365E+00, 6.3358779E+00,-7.6200005E+01,-2.5800001E+01,-1.5615001E+02, 5.4578938E+01, 5.0220001E+01, 9.0608891E+04, 9.2246094E+00, 6.4899999E-01, 0.0000000E+00, 6.0900003E-01,0,0,
5317173,20,420, 8.5742181E+02, 3.5742184E+02,-9.5703117E+01,-6.5114503E+00, 2.7480915E-01, 1.8473282E+00,-7.8450005E+01,-2.5950001E+01,-1.5810001E+02, 5.4770630E+01, 5.0220001E+01, 9.0605375E+04, 9.2373047E+00, 6.5700001E-01, 0.0000000E+00, 6.0900003E-01,0,0,
5318333,20,420, 6.0058594E+02, 6.0791016E+02, 6.9335938E+01, 7.1221375E+00,-1.5694656E+01,-2.2900763E+00,-7.6950005E+01,-2.5950001E+01,-1.5675000E+02, 5.4722706E+01, 5.0230000E+01, 9.0615563E+04, 9.2128906E+00, 6.4800000E-01, 0.0000000E+00, 6.0200000E-01,0,0,
5319490,20,420, 8.3447260E+02, 5.3369141E+02,-3.0273436E+01,-1.0687023E-01, 2.4122138E+00,-3.2900763E+00,-7.8750000E+01,-2.4900002E+01,-1.5750000E+02, 5.4866474E+01, 5.0220001E+01, 9.0617867E+04, 9.2119141E+00, 6.5700001E-01, 0.0000000E+00, 6.0900003E-01,0,0,
5320649,20,420, 2.5683594E+02, 7.2216791E+02, 9.1796867E+01, 3.3053436E+00,-4.7175574E+00,-2.2519083E+00,-7.6500000E+01,-2.6550001E+01,-1.5720001E+02, 5.4674786E+01, 5.0230000E+01, 9.0614352E+04, 9.2128906E+00, 6.4800000E-01, 0.0000000E+00, 6.0200000E-01,0,0,
