"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
1769450,20,117, 8.6523431E+02, 4.5849606E+02, 1.6601563E+01, 4.5801526E-01,-1.9923664E+00,-1.4351145E+00,-7.8300003E+01,-3.8850002E+01,-1.5930000E+02, 4.7390511E+01, 4.2490002E+01, 9.0619859E+04, 1.3158203E+01, 6.3700002E-01, 0.0000000E+00, 6.6900003E-01,0,0,
1770600,20,118, 8.7548822E+02, 4.5166013E+02, 9.2773438E+00, 7.6335877E-01,-3.5877863E-01,-6.7175574E+00,-7.9350006E+01,-3.7050003E+01,-1.5900000E+02, 4.7534279E+01, 4.2490002E+01, 9.0619344E+04, 1.3121094E+01, 6.2900001E-01, 0.0000000E+00, 6.6900003E-01,0,0,
1771779,20,118, 8.6425775E+02, 4.7656247E+02,-1.2207030E+01,-2.5190839E-01,-4.8091602E-01,-2.7557251E+00,-7.9650002E+01,-3.5550003E+01,-1.5930000E+02, 4.7534279E+01, 4.2500000E+01, 9.0620016E+04, 1.3181641E+01, 6.3700002E-01, 0.0000000E+00, 6.7000002E-01,0,0,
1772930,20,118, 8.7792963E+02, 4.9560544E+02, 1.2695312E+01, 2.2366412E+00, 2.6183207E+00,-1.7099236E+00,-7.9200005E+01,-3.7950001E+01,-1.5915001E+02, 4.7725971E+01, 4.2500000E+01, 9.0617609E+04, 1.3169922E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
1774084,20,118, 8.7792963E+02, 4.8193356E+02, 1.9042969E+01, 3.1984732E+00, 1.2748091E+00,-2.8244274E+00,-7.9500000E+01,-3.9450001E+01,-1.5960001E+02, 4.7534279E+01, 4.2500000E+01, 9.0618844E+04, 1.3182617E+01, 6.3700002E-01, 0.0000000E+00, 6.6900003E-01,0,0,
1775238,20,119, 8.6572260E+02, 4.5117184E+02, 1.1230468E+01, 1.0916030E+00,-4.1374044E+00,-2.9083970E+00,-7.9050003E+01,-3.8850002E+01,-1.5975000E+02, 4.7390511E+01, 4.2509998E+01, 9.0624414E+04, 1.3133789E+01, 6.3700002E-01, 0.0000000E+00, 6.6900003E-01,0,0,
1776392,20,119, 8.7451166E+02, 4.7900388E+02, 8.3007813E+00, 1.1221374E+00,-2.8015268E+00,-1.9312977E+00,-7.8150002E+01,-3.8250000E+01,-1.6125000E+02, 4.7821815E+01, 4.2509998E+01, 9.0620578E+04, 1.3169922E+01, 6.3700002E-01, 0.0000000E+00, 6.6900003E-01,0,0,
1777549,20,119, 8.6962885E+02, 4.6972653E+02, 2.2949217E+01, 1.0687023E-01, 9.8473281E-01, 1.2213740E-01,-7.9050003E+01,-3.8550003E+01,-1.5900000E+02, 4.7725971E+01, 4.2509998E+01, 9.0618844E+04, 1.3170898E+01, 6.2900001E-01, 0.0000000E+00, 6.6900003E-01,0,0,
1778704,20,119, 8.6328119E+02, 4.8535153E+02, 2.4902342E+01, 4.5801526E-01,-3.4274809E+00,-3.4961832E+00,-7.9200005E+01,-3.8700001E+01,-1.5750000E+02, 4.7582203E+01, 4.2520000E+01, 9.0619922E+04, 1.3133789E+01, 6.3700002E-01, 0.0000000E+00, 6.6900003E-01,0,0,
1779862,20,120, 8.7792963E+02, 4.7265622E+02, 1.7089844E+01, 2.3893130E+00, 4.8854962E-01,-2.1450381E+00,-7.8300003E+01,-3.8850002E+01,-1.5870001E+02, 4.7486359E+01, 4.2529999E+01, 9.0622688E+04, 1.3146484E+01, 6.3700002E-01, 0.0000000E+00, 6.6900003E-01,0,0,
