"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
4645283,20,410, 8.6230463E+02, 4.8779294E+02, 2.2460936E+01, 1.6183206E+00, 2.9770991E-01,-3.1450381E+00,-7.2300003E+01,-3.7950001E+01,-1.5255000E+02, 5.3668404E+01, 4.9209999E+01, 9.0592563E+04, 1.0244141E+01, 6.5700001E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4646439,20,410, 8.6914056E+02, 4.8193356E+02, 9.2773438E+00, 1.4274809E+00,-2.0458016E+00,-9.5419848E-01,-7.3800003E+01,-3.9000000E+01,-1.5210001E+02, 5.3716328E+01, 4.9200001E+01, 9.0591500E+04, 1.0231445E+01, 6.5700001E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4647597,20,410, 8.8427728E+02, 4.8291013E+02, 1.7089844E+01,-6.1068702E-02,-9.2366409E-01,-1.0992366E+00,-7.2600006E+01,-3.8550003E+01,-1.5120001E+02, 5.3524635E+01, 4.9209999E+01, 9.0589578E+04, 1.0281250E+01, 6.5700001E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4648753,20,410, 8.6376947E+02, 4.8193356E+02, 4.8828125E+00, 2.8473282E+00,-1.5267175E-01,-2.2519083E+00,-7.2750000E+01,-3.8700001E+01,-1.5045001E+02, 5.3716328E+01, 4.9209999E+01, 9.0590078E+04, 1.0244141E+01, 6.4899999E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4649909,20,410, 8.5107416E+02, 4.7705075E+02, 2.0996092E+01, 2.1679389E+00, 3.0534351E-02,-2.0076337E+00,-7.3800003E+01,-3.7200001E+01,-1.5180000E+02, 5.3812172E+01, 4.9209999E+01, 9.0586039E+04, 1.0305664E+01, 6.4800000E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4651088,20,410, 8.6572260E+02, 4.7851559E+02, 1.5624999E+01, 2.2519083E+00,-3.3587787E-01,-3.2366412E+00,-7.2600006E+01,-3.8100002E+01,-1.5240001E+02, 5.3908020E+01, 4.9209999E+01, 9.0587289E+04, 1.0231445E+01, 6.4800000E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4652244,20,410, 8.5791010E+02, 4.8046872E+02, 1.4648437E+01, 4.0992365E+00, 4.6564886E-01,-2.1755726E+00,-7.3050003E+01,-3.6450001E+01,-1.5150000E+02, 5.3812172E+01, 4.9220001E+01, 9.0586047E+04, 1.0232422E+01, 6.4800000E-01, 0.0000000E+00, 6.1000001E-01,0,0,
4653405,20,410, 8.6767572E+02, 4.9560544E+02, 2.9296873E+01, 1.4885496E+00,-3.1374047E+00,-4.3511453E+00,-7.4550003E+01,-3.8250000E+01,-1.5105000E+02, 5.3812172E+01, 4.9220001E+01, 9.0589211E+04, 1.0195313E+01, 6.4800000E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4654562,20,410, 8.6425775E+02, 4.8437497E+02, 3.4667969E+01, 4.0305343E+00,-1.4503816E+00,-2.0076337E+00,-7.3950005E+01,-3.8850002E+01,-1.5165001E+02, 5.3812172E+01, 4.9220001E+01, 9.0584297E+04, 1.0244141E+01, 6.5700001E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4655721,20,410, 8.5498041E+02, 4.7802731E+02, 8.7890625E+00, 7.5572521E-01,-2.4427481E+00,-2.2748091E+00,-7.4400002E+01,-3.7050003E+01,-1.5165001E+02, 5.3716328E+01, 4.9220001E+01, 9.0587453E+04, 1.0244141E+01, 6.4899999E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4656877,20,410, 8.6328119E+02, 4.8828122E+02, 2.0019531E+01, 1.6870229E+00,-1.5801526E+00,-2.2137403E+00,-7.3800003E+01,-3.8700001E+01,-1.5075000E+02, 5.3620483E+01, 4.9220001E+01, 9.0584469E+04, 1.0232422E+01, 6.4800000E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4658036,20,410, 8.5986322E+02, 4.8925778E+02, 1.7089844E+01, 6.2595421E-01,-1.0992366E+00,-4.6183205E+00,-7.3050003E+01,-3.7200001E+01,-1.5150000E+02, 5.3716328E+01, 4.9230000E+01, 9.0589719E+04, 1.0232422E+01, 6.4800000E-01, 0.0000000E+00, 6.1000001E-01,0,0,
4659192,20,410, 8.6474603E+02, 4.8974606E+02, 2.4414061E+01, 1.8702290E+00, 7.5572521E-01,-2.7480915E-01,-7.2600006E+01,-3.9600002E+01,-1.5165001E+02, 5.3812172E+01, 4.9230000E+01, 9.0589375E+04, 1.0182617E+01, 6.4899999E-01, 0.0000000E+00, 6.1799997E-01,0,0,
4660353,20,410, 8.6279291E+02, 4.9121091E+02, 2.0019531E+01, 2.6259542E+00,-2.3664123E-01,-1.8778626E+00,-7.2750000E+01,-3.8250000E+01,-1.5075000E+02, 5.3908020E+01, 4.9220001E+01, 9.0588516E+04, 1.0232422E+01, 6.4800000E-01, 0.0000000E+00, 6.1500001E-01,0,0,
4661510,20,410, 8.5888666E+02, 4.7705075E+02, 2.0996092E+01, 2.4503818E+00, 2.5190839E-01,-2.9618320E+00,-7.3800003E+01,-3.6450001E+01,-1.5075000E+02, 5.3716328E+01, 4.9220001E+01, 9.0585172E+04, 1.0207031E+01, 6.5600002E-01, 0.0000000E+00, 6.1799997E-01,0,0,
4662667,20,411, 8.6328119E+02, 4.8681638E+02, 1.5136718E+01, 1.4656489E+00,-2.1832061E+00,-6.8702288E-02,-7.2000000E+01,-3.8700001E+01,-1.5045001E+02, 5.3812172E+01, 4.9230000E+01, 9.0587617E+04, 1.0219727E+01, 6.5700001E-01, 0.0000000E+00, 6.1799997E-01,0,0,
4663823,20,411, 8.5253900E+02, 4.7363278E+02,-2.4414063E+00, 1.7404580E+00,-2.6030533E+00,-2.6564887E+00,-7.3500000E+01,-3.7950001E+01,-1.5180000E+02, 5.3716328E+01, 4.9230000E+01, 9.0588484E+04, 1.0219727E+01, 6.4899999E-01, 0.0000000E+00, 6.1799997E-01,0,0,
4664979,20,411, 8.6914056E+02, 4.8925778E+02, 1.3183593E+01, 1.4961832E+00, 1.5190840E+00,-3.3587787E-01,-7.3050003E+01,-3.8700001E+01,-1.5180000E+02, 5.4003864E+01, 4.9230000E+01, 9.0584797E+04, 1.0182617E+01, 6.4899999E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4666160,20,411, 8.5839838E+02, 4.8681638E+02, 1.7089844E+01, 1.8854961E+00, 1.7099236E+00,-3.0916030E+00,-7.3050003E+01,-3.8700001E+01,-1.5105000E+02, 5.3812172E+01, 4.9240002E+01, 9.0584445E+04, 1.0208008E+01, 6.4800000E-01, 0.0000000E+00, 6.1799997E-01,0,0,
4667317,20,411, 8.5156244E+02, 4.8583981E+02, 9.7656250E+00, 2.7251909E+00, 4.8854962E-01,-2.6106870E+00,-7.2600006E+01,-3.5850002E+01,-1.5195001E+02, 5.3620483E+01, 4.9240002E+01, 9.0586031E+04, 1.0208008E+01, 6.4899999E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4668475,20,411, 8.6474603E+02, 4.9365231E+02, 2.2949217E+01, 2.4198472E+00,-5.3435117E-01,-3.7557251E+00,-7.3950005E+01,-3.9600002E+01,-1.5300000E+02, 5.3812172E+01, 4.9250000E+01, 9.0587438E+04, 1.0158203E+01, 6.5700001E-01, 0.0000000E+00, 6.1799997E-01,0,0,
4669633,20,411, 8.5693353E+02, 4.8388669E+02, 2.3925779E+01, 8.7786257E-01,-3.0305343E+00,-3.8396947E+00,-7.4100006E+01,-3.9450001E+01,-1.5000000E+02, 5.3620483E+01, 4.9240002E+01, 9.0582008E+04, 1.0208008E+01, 6.4899999E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4670791,20,411, 8.5253900E+02, 4.8876950E+02, 2.1972654E+01, 2.1679389E+00,-2.5496182E+00,-2.9847329E+00,-7.3050003E+01,-3.8700001E+01,-1.5105000E+02, 5.3812172E+01, 4.9240002E+01, 9.0585328E+04, 1.0232422E+01, 6.5600002E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4671948,20,411, 8.5253900E+02, 4.8291013E+02, 1.7578125E+01, 9.3893129E-01, 2.9770991E-01,-2.3206108E+00,-7.2900002E+01,-3.7050003E+01,-1.5015001E+02, 5.3908020E+01, 4.9240002E+01, 9.0584797E+04, 1.0208008E+01, 6.4800000E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4673105,20,411, 8.4814447E+02, 4.9560544E+02, 2.3925779E+01, 8.7786257E-01,-1.0610687E+00,-2.5877862E+00,-7.2600006E+01,-3.8100002E+01,-1.5240001E+02, 5.4003864E+01, 4.9250000E+01, 9.0586391E+04, 1.0208008E+01, 6.4800000E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4674265,20,411, 8.6572260E+02, 4.9951169E+02, 2.3925779E+01, 1.9007634E+00,-2.8854961E+00,-2.0839694E+00,-7.1700005E+01,-3.8250000E+01,-1.5105000E+02, 5.3812172E+01, 4.9250000E+01, 9.0587266E+04, 1.0183594E+01, 6.5700001E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4675423,20,411, 8.5253900E+02, 4.8095700E+02, 2.6367186E+01, 3.9694657E+00, 2.9770991E-01,-2.1832061E+00,-7.3050003E+01,-3.8250000E+01,-1.5210001E+02, 5.3860096E+01, 4.9250000E+01, 9.0582523E+04, 1.0195313E+01, 6.4800000E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4676581,20,411, 8.6816400E+02, 4.7705075E+02, 1.7089844E+01, 1.5343511E+00, 2.3664123E-01,-3.9923663E+00,-7.2750000E+01,-3.7200001E+01,-1.5285001E+02, 5.4003864E+01, 4.9250000E+01, 9.0584461E+04, 1.0195313E+01, 6.4800000E-01, 0.0000000E+00, 6.1000001E-01,0,0,
4677737,20,411, 8.7451166E+02, 4.8242184E+02, 1.4648437E+01, 1.0687023E+00, 7.6335878E-03,-3.1068702E+00,-7.1850006E+01,-3.9300003E+01,-1.5195001E+02, 5.3668404E+01, 4.9259998E+01, 9.0586016E+04, 1.0195313E+01, 6.4800000E-01, 0.0000000E+00, 6.1000001E-01,0,0,
4678892,20,411, 8.5986322E+02, 4.8144528E+02, 1.7578125E+01, 2.8702290E+00,-7.6335877E-01,-1.5954199E+00,-7.2150002E+01,-3.8850002E+01,-1.5165001E+02, 5.4051788E+01, 4.9250000E+01, 9.0583234E+04, 1.0183594E+01, 6.4800000E-01, 0.0000000E+00, 6.1799997E-01,0,0,
4680048,20,411, 8.4472650E+02, 4.7802731E+02, 2.3925779E+01, 1.0763359E+00, 1.8320611E-01,-1.1755725E+00,-7.3200005E+01,-3.8850002E+01,-1.5240001E+02, 5.3716328E+01, 4.9250000E+01, 9.0582875E+04, 1.0195313E+01, 6.5600002E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4681230,20,411, 8.6669916E+02, 4.7460934E+02, 5.3710933E+00, 4.6564886E-01,-2.8473282E+00,-2.2137403E+00,-7.3800003E+01,-3.8250000E+01,-1.5105000E+02, 5.4147633E+01, 4.9259998E+01, 9.0583742E+04, 1.0196289E+01, 6.5600002E-01, 0.0000000E+00, 6.1799997E-01,0,0,
