"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
3538168,20,377, 8.4863275E+02, 4.7607419E+02, 1.9042969E+01, 1.7938931E+00, 1.3129771E+00,-3.1755726E+00,-7.8300003E+01,-3.8550003E+01,-1.5060001E+02, 5.3093330E+01, 4.8209999E+01, 9.0609031E+04, 1.1074219E+01, 6.5700001E-01, 0.0000000E+00, 6.1000001E-01,0,0,
3539328,20,377, 8.6816400E+02, 4.8486325E+02, 3.1738279E+01,-1.1984733E+00, 1.6412214E+00,-2.7862597E+00,-7.6200005E+01,-3.5100002E+01,-1.4880000E+02, 5.2805794E+01, 4.8209999E+01, 9.0612000E+04, 1.1049805E+01, 6.4800000E-01, 0.0000000E+00, 6.1699998E-01,0,0,
3540489,20,377, 8.5546869E+02, 4.8876950E+02, 2.1484373E+01, 1.2977099E+00,-4.2671757E+00,-1.9847329E+00,-7.5750000E+01,-3.7350002E+01,-1.5015001E+02, 5.2805794E+01, 4.8209999E+01, 9.0605852E+04, 1.1061523E+01, 6.4899999E-01, 0.0000000E+00, 6.0900003E-01,0,0,
3541648,20,378, 8.6962885E+02, 4.9365231E+02, 1.2207030E+01, 1.8473282E+00,-3.4656489E+00,-1.8091604E+00,-7.6950005E+01,-3.6750000E+01,-1.4790001E+02, 5.2853714E+01, 4.8209999E+01, 9.0608664E+04, 1.1061523E+01, 6.4899999E-01, 0.0000000E+00, 6.0900003E-01,0,0,
3542806,20,378, 8.5693353E+02, 4.8583981E+02, 2.4902342E+01, 2.3587787E+00,-3.0763359E+00, 5.1145041E-01,-7.6500000E+01,-3.6600002E+01,-1.4850000E+02, 5.2949562E+01, 4.8209999E+01, 9.0607250E+04, 1.1074219E+01, 6.5700001E-01, 0.0000000E+00, 6.0900003E-01,0,0,
3543964,20,378, 8.6279291E+02, 4.9169919E+02, 1.7089844E+01,-2.8244275E-01,-3.8167939E-01,-4.1832061E+00,-7.5900002E+01,-3.6750000E+01,-1.4865001E+02, 5.2757870E+01, 4.8209999E+01, 9.0611461E+04, 1.1061523E+01, 6.4899999E-01, 0.0000000E+00, 6.1799997E-01,0,0,
3545123,20,378, 8.6474603E+02, 4.8730466E+02, 1.7089844E+01,-3.2061067E-01, 1.0305344E+00,-2.3816793E+00,-7.5000000E+01,-3.7050003E+01,-1.5195001E+02, 5.2662025E+01, 4.8220001E+01, 9.0608313E+04, 1.1074219E+01, 6.4899999E-01, 0.0000000E+00, 6.1799997E-01,0,0,
3546286,20,378, 8.5693353E+02, 4.8242184E+02, 1.8066406E+01, 2.7404580E+00, 2.7480915E-01,-2.2442749E+00,-7.5600006E+01,-3.8700001E+01,-1.4940001E+02, 5.2805794E+01, 4.8209999E+01, 9.0608141E+04, 1.1049805E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
3547444,20,378, 8.5156244E+02, 4.7607419E+02, 1.5136718E+01, 2.7709923E+00,-1.9541985E+00,-2.3893130E+00,-7.5750000E+01,-3.5100002E+01,-1.4910001E+02, 5.2757870E+01, 4.8220001E+01, 9.0604109E+04, 1.1049805E+01, 6.5700001E-01, 0.0000000E+00, 6.1900002E-01,0,0,
3548606,20,378, 8.6816400E+02, 4.8828122E+02, 1.5624999E+01, 1.6335878E+00,-1.0534351E+00,-3.4503818E+00,-7.6950005E+01,-3.8250000E+01,-1.4790001E+02, 5.2997482E+01, 4.8230000E+01, 9.0604453E+04, 1.1061523E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
