"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",1148,0,0, 2.0507811E+01, 9.9707025E+02,-2.7343748E+01, 8.9312977E-01, 4.1221374E-01,-5.0152674E+00,-2.2350000E+01, 2.9550001E+01,-1.3755000E+02, 4.1687691E+01, 3.8700001E+01, 9.0625914E+04, 1.3775391E+01, 6.2800002E-01, 0.0000000E+00, 6.7000002E-01,0,0,
46998,20,18, 8.6425774E+01, 1.1025391E+03,-8.1542961E+01,-1.8549619E+00,-7.3282444E-01, 5.4580154E+00,-2.5800001E+01, 3.5400002E+01,-1.3635001E+02, 4.2837841E+01, 3.9000000E+01, 9.0634273E+04, 1.4557617E+01, 6.2800002E-01, 0.0000000E+00, 6.6900003E-01,0,0,
48147,20,18,-2.2460936E+01, 1.0273438E+03,-1.8554688E+01, 3.6106870E+00,-1.2213740E-01,-2.1374047E+00,-2.5350000E+01, 3.6000000E+01,-1.3665001E+02, 4.3269150E+01, 3.9009998E+01, 9.0630148E+04, 1.4413086E+01, 6.2800002E-01, 0.0000000E+00, 6.6900003E-01,0,0,
49297,20,19,-6.5771478E+02, 7.6367181E+02,-2.6757813E+02, 9.5190840E+00, 1.4442748E+01,-3.5480915E+01,-1.6950001E+01, 4.3350002E+01,-1.4175000E+02, 4.3317070E+01, 3.9000000E+01, 9.0626141E+04, 1.4170898E+01, 5.8499998E-01, 0.0000000E+00, 6.6200000E-01,0,0,
50447,20,19,-8.5302728E+02, 2.8515625E+02,-1.6406248E+02, 4.2458015E+01,-8.5190840E+00,-1.8442749E+01, 2.1000001E+00, 2.0400002E+01,-1.3815001E+02, 4.3269150E+01, 3.9000000E+01, 9.0622328E+04, 1.3772461E+01, 6.0299999E-01, 0.0000000E+00, 6.4200002E-01,0,2,
51597,20,19,-6.7333978E+02, 6.1914063E+02,-4.6874996E+01,-2.4732823E+00,-1.1122137E+01, 6.8320610E+01, 7.5000005E+00, 9.3000002E+00,-1.3170001E+02, 4.3077454E+01, 3.9009998E+01, 9.0630500E+04, 1.3470703E+01, 6.2800002E-01, 0.0000000E+00, 6.6200000E-01,5,0,
52746,20,19, 3.9306638E+02,-4.4775388E+02,-1.1279296E+02,-1.8679390E+01, 1.2503817E+01,-8.3480919E+01,-5.1750004E+01, 3.0600000E+01,-1.3965001E+02, 4.3317070E+01, 3.9009998E+01, 9.0618242E+04, 1.3325195E+01, 6.2800002E-01, 0.0000000E+00, 6.7000002E-01,0,0,
53897,20,19,-1.1972656E+03, 1.1069336E+03,-5.9570309E+01, 1.6007633E+01,-1.0099236E+01, 5.9656490E+01,-4.8000000E+01, 3.9450001E+01,-1.3530000E+02, 4.3317070E+01, 3.9009998E+01, 9.0621859E+04, 1.3300781E+01, 6.3700002E-01, 0.0000000E+00, 6.6200000E-01,0,1,
55053,20,20,-2.4414061E+01, 9.1699213E+02,-2.7099609E+02, 1.3885496E+01,-7.4580154E+00, 2.5190840E+00,-4.5900002E+01, 4.2750000E+01,-1.3140001E+02, 4.3269150E+01, 3.9020000E+01, 9.0624625E+04, 1.3470703E+01, 6.3700002E-01, 0.0000000E+00, 6.7799997E-01,0,0,
56201,20,20,-2.5390623E+02, 8.3203119E+02,-1.8798827E+02,-1.5145039E+01,-1.4603053E+01, 4.8091602E+01,-3.1950001E+01, 4.2900002E+01,-1.3335001E+02, 4.3077454E+01, 3.9020000E+01, 9.0623609E+04, 1.3724609E+01, 6.3700002E-01, 0.0000000E+00, 6.7799997E-01,0,0,
57351,20,20,-1.7089844E+01, 1.0996094E+03, 3.9062498E+00,-6.4809160E+00,-3.0870230E+01,-6.1068702E-02,-4.2450001E+01, 4.7100002E+01,-1.2600001E+02, 4.3508759E+01, 3.9020000E+01, 9.0617578E+04, 1.4099609E+01, 6.2900001E-01, 0.0000000E+00, 6.6900003E-01,0,0,
