"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
223191,20,101,-1.3183593E+01, 8.7890625E+00, 1.0195312E+03, 2.0916030E+00, 6.9465649E-01,-5.5572519E+00,-4.0050003E+01, 2.8200001E+01,-6.9600006E+01, 4.4563065E+01, 3.9529999E+01, 9.0636281E+04, 1.3582031E+01, 6.2900001E-01, 0.0000000E+00, 6.7799997E-01,0,0,
224337,20,101, 3.4179685E+00, 2.3925779E+01, 9.9804681E+02,-5.8015269E-01, 5.8778626E-01, 3.5114503E+00,-3.8250000E+01, 2.8200001E+01,-7.0200005E+01, 4.4658909E+01, 3.9529999E+01, 9.0637852E+04, 1.3521484E+01, 6.3700002E-01, 0.0000000E+00, 6.7799997E-01,0,0,
225487,20,102, 1.0253905E+01, 1.1718749E+01, 1.0190429E+03, 1.4503816E+00,-1.7328244E+00,-3.2748091E+00,-3.9150002E+01, 3.1350000E+01,-7.0350006E+01, 4.4658909E+01, 3.9540001E+01, 9.0637188E+04, 1.3570313E+01, 6.3700002E-01, 0.0000000E+00, 6.7799997E-01,0,0,
226637,20,102, 2.8320311E+01, 2.1972654E+01, 1.0048828E+03, 3.7175572E+00, 5.3435113E-02,-5.0916033E+00,-3.9900002E+01, 3.1050001E+01,-6.8700005E+01, 4.4515141E+01, 3.9540001E+01, 9.0638578E+04, 1.3521484E+01, 6.3800001E-01, 0.0000000E+00, 6.6900003E-01,0,0,
227786,20,102, 6.8359370E+00, 1.1230468E+01, 1.0161132E+03, 3.1984732E+00, 3.4656489E+00,-2.4885497E+00,-3.8850002E+01, 2.9250002E+01,-6.7950005E+01, 4.4515141E+01, 3.9549999E+01, 9.0643422E+04, 1.3582031E+01, 6.3700002E-01, 0.0000000E+00, 6.6900003E-01,0,0,
228936,20,102, 9.2773438E+00, 1.0742187E+01, 1.0087890E+03, 2.6717558E+00,-1.3282443E+00,-4.5038167E-01,-4.0050003E+01, 3.0450001E+01,-6.8550003E+01, 4.4563065E+01, 3.9549999E+01, 9.0638250E+04, 1.3583008E+01, 6.3700002E-01, 0.0000000E+00, 6.7799997E-01,0,0,
230086,20,103, 1.8066406E+01,-2.9296873E+00, 1.0112304E+03, 8.4732825E-01, 2.4961832E+00, 1.0877863E+01,-3.9750000E+01, 3.0150002E+01,-7.0650002E+01, 4.4563065E+01, 3.9549999E+01, 9.0636023E+04, 1.3594727E+01, 6.3700002E-01, 0.0000000E+00, 6.7799997E-01,0,1,
231237,20,103, 8.7890625E+00, 1.4648437E+01, 1.0092773E+03, 1.5114504E+00, 8.2442749E-01,-8.7022901E-01,-4.1550003E+01, 3.0900002E+01,-6.7050003E+01, 4.4754753E+01, 3.9560001E+01, 9.0638977E+04, 1.3583008E+01, 6.3099998E-01, 0.0000000E+00, 6.7799997E-01,0,0,
232387,20,103, 0.0000000E+00, 9.2773438E+00, 1.0131835E+03, 8.8549620E-01, 1.0534351E+00,-1.4656489E+00,-4.1400002E+01, 3.1350000E+01,-7.0350006E+01, 4.4515141E+01, 3.9560001E+01, 9.0633625E+04, 1.3583008E+01, 6.3700002E-01, 0.0000000E+00, 6.7000002E-01,0,1,
233539,20,103,-3.9062498E+00, 1.9531249E+00, 1.0234374E+03, 3.4274809E+00, 1.2290076E+00,-2.0687022E+00,-4.2000000E+01, 3.1350000E+01,-6.9750000E+01, 4.4658909E+01, 3.9570000E+01, 9.0636063E+04, 1.3558594E+01, 6.3700002E-01, 0.0000000E+00, 6.7799997E-01,0,0,
