"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
1990501,20,181, 8.7890619E+02, 4.7314450E+02, 1.6601563E+01, 1.0076336E+00,-2.3282442E+00,-1.1221374E+00,-7.7550003E+01,-3.8850002E+01,-1.5795001E+02, 4.8109352E+01, 4.3189999E+01, 9.0619766E+04, 1.3031250E+01, 6.3700002E-01, 0.0000000E+00, 6.7799997E-01,0,0,
1991651,20,181, 8.5888666E+02, 4.5751950E+02, 4.8828125E+00, 3.5419848E+00, 1.7022901E+00,-4.4961834E+00,-7.7400002E+01,-3.8700001E+01,-1.5705000E+02, 4.8061432E+01, 4.3189999E+01, 9.0620977E+04, 1.3042969E+01, 6.3700002E-01, 0.0000000E+00, 6.7000002E-01,0,0,
1992806,20,182, 8.6962885E+02, 4.6240231E+02, 3.5644531E+01, 2.8091602E+00,-6.9465649E-01,-2.7175572E+00,-7.7850006E+01,-3.8100002E+01,-1.5825000E+02, 4.8253120E+01, 4.3189999E+01, 9.0618719E+04, 1.3031250E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
1993961,20,182, 8.7304681E+02, 4.5068356E+02, 5.3710933E+00, 2.0381680E+00,-2.2137405E-01,-2.0992367E+00,-7.8150002E+01,-3.8700001E+01,-1.5705000E+02, 4.8396889E+01, 4.3200001E+01, 9.0617344E+04, 1.3042969E+01, 6.3800001E-01, 0.0000000E+00, 6.7799997E-01,0,0,
1995116,20,182, 8.7792963E+02, 4.8193356E+02, 2.0507811E+01, 2.5343511E+00,-1.6030534E-01,-5.4885497E+00,-7.7400002E+01,-3.9450001E+01,-1.5855000E+02, 4.8109352E+01, 4.3200001E+01, 9.0617883E+04, 1.3031250E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
1996272,20,183, 8.8769525E+02, 4.6972653E+02, 1.9042969E+01, 2.2290077E+00,-1.4503817E-01,-3.9694658E-01,-7.8750000E+01,-3.8700001E+01,-1.5780000E+02, 4.8109352E+01, 4.3200001E+01, 9.0617891E+04, 1.2995117E+01, 6.3700002E-01, 0.0000000E+00, 6.7799997E-01,0,0,
1997426,20,183, 8.7304681E+02, 4.6191403E+02, 1.4648437E+01, 2.1755726E+00,-1.9541985E+00,-2.9618320E+00,-7.7850006E+01,-3.9300003E+01,-1.5825000E+02, 4.8013508E+01, 4.3209999E+01, 9.0618922E+04, 1.3043945E+01, 6.3700002E-01, 0.0000000E+00, 6.7000002E-01,0,0,
1998584,20,183, 8.7988275E+02, 4.7900388E+02, 1.4648437E+01, 2.3053436E+00,-1.3129771E+00,-4.8854961E+00,-7.6800003E+01,-3.9600002E+01,-1.5825000E+02, 4.8061432E+01, 4.3220001E+01, 9.0619828E+04, 1.3043945E+01, 6.2900001E-01, 0.0000000E+00, 6.7799997E-01,0,0,
1999739,20,184, 8.7890619E+02, 4.7460934E+02, 1.0253905E+01, 1.8015267E+00,-2.1603053E+00,-2.2595420E+00,-7.6800003E+01,-3.9300003E+01,-1.5720001E+02, 4.8205200E+01, 4.3220001E+01, 9.0615813E+04, 1.3043945E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
2000899,20,184, 8.7109369E+02, 4.5458981E+02,-4.8828122E-01, 1.5419847E+00, 1.0687023E-01,-3.5801528E+00,-7.9650002E+01,-3.7800003E+01,-1.5900000E+02, 4.8205200E+01, 4.3220001E+01, 9.0618094E+04, 1.3043945E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
2002055,20,185, 8.6962885E+02, 4.5947263E+02, 2.0019531E+01, 2.2213740E+00,-3.5419848E+00,-2.6793892E+00,-7.8450005E+01,-3.7500000E+01,-1.5855000E+02, 4.8205200E+01, 4.3230000E+01, 9.0620906E+04, 1.3032227E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
2003213,20,185, 8.6474603E+02, 4.5947263E+02, 1.6601563E+01, 2.0381680E+00, 5.2671754E-01,-4.1755724E+00,-7.6800003E+01,-3.8850002E+01,-1.5825000E+02, 4.8061432E+01, 4.3230000E+01, 9.0623523E+04, 1.3032227E+01, 6.2900001E-01, 0.0000000E+00, 6.7799997E-01,0,0,
2004369,20,185, 8.6572260E+02, 4.7363278E+02, 1.8554688E+01, 0.0000000E+00, 2.2900763E+00,-1.9160305E+00,-7.8750000E+01,-3.8700001E+01,-1.5750000E+02, 4.8253120E+01, 4.3230000E+01, 9.0620727E+04, 1.3032227E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
2005545,20,186, 8.7744135E+02, 4.5361325E+02, 2.3437498E+01, 2.5114503E+00,-2.1374047E+00, 6.1068702E-01,-7.6800003E+01,-3.8100002E+01,-1.5765001E+02, 4.8396889E+01, 4.3230000E+01, 9.0622828E+04, 1.3032227E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
2006697,20,186, 8.7841791E+02, 4.6289059E+02, 2.0996092E+01, 7.2519082E-01, 7.4809158E-01,-3.5343511E+00,-7.7700005E+01,-3.7500000E+01,-1.5990001E+02, 4.7869740E+01, 4.3250000E+01, 9.0620398E+04, 1.3020508E+01, 6.3700002E-01, 0.0000000E+00, 6.7000002E-01,0,0,
2007854,20,186, 8.6328119E+02, 4.7167966E+02, 1.7089844E+01, 3.4656489E+00,-1.0152671E+00,-1.0687023E-01,-7.5600006E+01,-3.9750000E+01,-1.5705000E+02, 4.8205200E+01, 4.3259998E+01, 9.0617469E+04, 1.3033203E+01, 6.3700002E-01, 0.0000000E+00, 6.1900002E-01,0,0,
2009009,20,187, 8.9111322E+02, 4.5556638E+02, 2.5390623E+01, 2.1908398E+00, 1.5725191E+00,-3.1221373E+00,-8.0250000E+01,-3.8250000E+01,-1.5705000E+02, 4.8205200E+01, 4.3270000E+01, 9.0618859E+04, 1.3033203E+01, 6.2900001E-01, 0.0000000E+00, 6.1799997E-01,0,0,
2010164,20,187, 8.7841791E+02, 4.6093747E+02, 2.3437498E+01, 2.2824428E+00,-2.4427481E-01,-1.9694656E+00,-7.8150002E+01,-3.7500000E+01,-1.5885001E+02, 4.8348969E+01, 4.3270000E+01, 9.0616438E+04, 1.3020508E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
2011321,20,188, 8.6425775E+02, 4.6289059E+02, 1.2207030E+01, 3.5038168E+00,-7.4809158E-01,-2.9160306E+00,-7.7550003E+01,-3.7050003E+01,-1.5795001E+02, 4.8205200E+01, 4.3270000E+01, 9.0620977E+04, 1.3033203E+01, 6.2900001E-01, 0.0000000E+00, 6.1000001E-01,0,0,
2012476,20,188, 8.7988275E+02, 4.7412106E+02, 1.7089844E+01,-5.3435113E-02, 8.7022901E-01, 2.1374045E-01,-7.7400002E+01,-3.8250000E+01,-1.5705000E+02, 4.8109352E+01, 4.3279999E+01, 9.0621141E+04, 1.3033203E+01, 6.3800001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
2013631,20,189, 8.8134760E+02, 4.5996091E+02, 2.3925779E+01, 1.0458015E+00,-3.5877862E+00,-3.1374047E+00,-7.8300003E+01,-3.7350002E+01,-1.5720001E+02, 4.8253120E+01, 4.3279999E+01, 9.0621313E+04, 1.3082031E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
2014787,20,189, 8.8134760E+02, 4.6874997E+02, 2.0996092E+01, 2.9541984E+00,-3.8167939E-02,-1.6717557E+00,-7.9350006E+01,-3.8850002E+01,-1.5825000E+02, 4.8396889E+01, 4.3279999E+01, 9.0624125E+04, 1.3033203E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
2015943,20,190, 8.9160150E+02, 4.4677731E+02, 2.2460936E+01, 2.9389312E+00,-1.2824427E+00,-1.9541985E+00,-7.9050003E+01,-3.8850002E+01,-1.5720001E+02, 4.8205200E+01, 4.3290001E+01, 9.0617859E+04, 1.3033203E+01, 6.3700002E-01, 0.0000000E+00, 6.7799997E-01,0,0,
2017098,20,190, 8.6132806E+02, 4.7509763E+02, 3.4667969E+01, 3.9694658E-01,-1.3664122E+00,-1.7099236E+00,-7.8150002E+01,-3.8250000E+01,-1.5780000E+02, 4.8396889E+01, 4.3290001E+01, 9.0623109E+04, 1.3008789E+01, 6.2900001E-01, 0.0000000E+00, 6.1100000E-01,0,0,
