"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
1548804,20,105, 9.0039056E+02, 4.4726559E+02, 2.0019531E+01, 2.0076337E+00,-1.9465649E+00,-5.6335878E+00,-7.8150002E+01,-3.9450001E+01,-1.5960001E+02, 4.7486359E+01, 4.1950001E+01, 9.0621531E+04, 1.3214844E+01, 6.3800001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
1549954,20,105, 8.8525385E+02, 4.3017575E+02, 9.2773438E+00, 1.8320611E-01, 9.3129772E-01,-3.7709923E+00,-7.7550003E+01,-4.0800003E+01,-1.5975000E+02, 4.7150898E+01, 4.1959999E+01, 9.0621031E+04, 1.3227539E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
1551107,20,105, 8.6181635E+02, 4.4677731E+02, 7.8124995E+00, 1.8396946E+00,-6.3358778E-01,-3.5801528E+00,-7.8450005E+01,-3.7950001E+01,-1.6170001E+02, 4.7007130E+01, 4.1959999E+01, 9.0622430E+04, 1.3215820E+01, 6.2900001E-01, 0.0000000E+00, 6.7699999E-01,0,0,
1552261,20,105, 8.6816400E+02, 4.8242184E+02, 2.8320311E+01, 4.5343513E+00,-1.3129771E+00,-2.6412213E+00,-7.9200005E+01,-3.8700001E+01,-1.6020001E+02, 4.7198822E+01, 4.1959999E+01, 9.0623656E+04, 1.3215820E+01, 6.2900001E-01, 0.0000000E+00, 6.7799997E-01,0,0,
1553415,20,105, 8.8769525E+02, 4.6337888E+02, 5.8593745E+00, 2.0000000E+00,-1.7633588E+00,-2.2290077E+00,-7.6950005E+01,-3.7200001E+01,-1.6095001E+02, 4.7007130E+01, 4.1970001E+01, 9.0625906E+04, 1.3227539E+01, 6.3800001E-01, 0.0000000E+00, 6.7799997E-01,0,0,
1554569,20,105, 8.5253900E+02, 4.6777341E+02, 1.7089844E+01, 3.1526718E+00, 1.3435115E+00,-1.7328244E+00,-7.8150002E+01,-3.9750000E+01,-1.6020001E+02, 4.7055054E+01, 4.1970001E+01, 9.0624000E+04, 1.3215820E+01, 6.2900001E-01, 0.0000000E+00, 6.7799997E-01,0,0,
1555722,20,105, 8.7109369E+02, 4.5214841E+02, 1.4648437E+01, 1.7709924E+00, 1.0687023E+00,-3.3893130E+00,-7.7700005E+01,-3.9450001E+01,-1.6200000E+02, 4.7294666E+01, 4.1970001E+01, 9.0622797E+04, 1.3215820E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
1556880,20,105, 8.6962885E+02, 4.7363278E+02, 1.0253905E+01, 2.4961832E+00,-1.6793894E+00,-2.4122138E+00,-7.9050003E+01,-3.8850002E+01,-1.6215001E+02, 4.7055054E+01, 4.1970001E+01, 9.0620359E+04, 1.3215820E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
1558033,20,105, 8.7597650E+02, 4.6582028E+02, 2.2949217E+01, 1.6335878E+00,-2.3129771E+00,-1.7251909E+00,-7.8750000E+01,-3.8700001E+01,-1.5915001E+02, 4.7007130E+01, 4.1980000E+01, 9.0617258E+04, 1.3215820E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
1559190,20,105, 8.8134760E+02, 4.4921872E+02, 7.8124995E+00, 2.4580152E+00,-3.8167939E-01,-6.1068702E-01,-7.9500000E+01,-3.9750000E+01,-1.6125000E+02, 4.7055054E+01, 4.1970001E+01, 9.0611492E+04, 1.3215820E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
