"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
3095753,20,330, 8.5498041E+02, 4.9121091E+02, 7.8124995E+00, 2.3969467E+00, 5.8015269E-01,-1.4198474E+00,-7.7400002E+01,-3.6450001E+01,-1.5150000E+02, 5.1607719E+01, 4.7049999E+01, 9.0607125E+04, 1.1686523E+01, 6.4899999E-01, 0.0000000E+00, 6.1799997E-01,0,0,
3096907,20,330, 8.6230463E+02, 4.9316403E+02, 1.2695312E+01, 2.4656489E+00,-2.4732823E+00,-2.3511450E+00,-7.7550003E+01,-3.7350002E+01,-1.5165001E+02, 5.1607719E+01, 4.7049999E+01, 9.0609406E+04, 1.1686523E+01, 6.5700001E-01, 0.0000000E+00, 6.1799997E-01,0,0,
3098064,20,330, 8.6035150E+02, 4.8925778E+02, 1.6113281E+01, 1.1374046E+00, 2.2900764E-02,-1.5496184E+00,-7.6800003E+01,-3.7350002E+01,-1.5165001E+02, 5.1751488E+01, 4.7049999E+01, 9.0606250E+04, 1.1674805E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
3099220,20,330, 8.4814447E+02, 4.8583981E+02, 1.0253905E+01, 2.7022901E+00, 6.4122134E-01,-2.5877862E+00,-7.6200005E+01,-3.5850002E+01,-1.5165001E+02, 5.1751488E+01, 4.7060001E+01, 9.0610969E+04, 1.1674805E+01, 6.4899999E-01, 0.0000000E+00, 6.1799997E-01,0,0,
3100378,20,330, 8.6523431E+02, 4.8242184E+02, 1.0742187E+01, 9.3893129E-01,-1.5267175E+00,-2.9465649E+00,-7.6950005E+01,-3.6450001E+01,-1.5150000E+02, 5.1751488E+01, 4.7060001E+01, 9.0609039E+04, 1.1674805E+01, 6.4899999E-01, 0.0000000E+00, 6.1799997E-01,0,0,
3101535,20,330, 8.7255853E+02, 4.9365231E+02, 2.0507811E+01, 3.3435113E+00, 1.1526718E+00,-3.6488550E+00,-7.7250000E+01,-3.6300003E+01,-1.5195001E+02, 5.1703568E+01, 4.7060001E+01, 9.0610984E+04, 1.1662109E+01, 6.4899999E-01, 0.0000000E+00, 6.1799997E-01,0,0,
3102691,20,330, 8.5498041E+02, 4.9609372E+02, 1.9042969E+01, 5.5725193E-01, 1.3358779E+00,-1.6793894E+00,-7.5750000E+01,-3.7800003E+01,-1.5195001E+02, 5.1943184E+01, 4.7070000E+01, 9.0608719E+04, 1.1663086E+01, 6.5700001E-01, 0.0000000E+00, 6.0900003E-01,0,0,
3103850,20,331, 8.5839838E+02, 4.8486325E+02, 1.0253905E+01, 1.9389313E+00,-6.8702288E-02,-1.7633588E+00,-7.8300003E+01,-3.6600002E+01,-1.5195001E+02, 5.1703568E+01, 4.7070000E+01, 9.0605031E+04, 1.1699219E+01, 6.4899999E-01, 0.0000000E+00, 6.1799997E-01,0,0,
3105007,20,331, 8.7255853E+02, 4.8632809E+02, 2.0996092E+01, 1.6183206E+00,-1.5496184E+00,-3.9694658E-01,-7.5600006E+01,-3.7950001E+01,-1.5255000E+02, 5.1559799E+01, 4.7070000E+01, 9.0608516E+04, 1.1674805E+01, 6.4899999E-01, 0.0000000E+00, 6.0900003E-01,0,0,
3106166,20,331, 8.6718744E+02, 4.9902341E+02, 1.5624999E+01, 3.3129771E+00, 1.4503816E+00,-4.2290077E+00,-7.7550003E+01,-3.8100002E+01,-1.5165001E+02, 5.1607719E+01, 4.7080002E+01, 9.0611156E+04, 1.1663086E+01, 6.5200001E-01, 0.0000000E+00, 6.1699998E-01,0,0,
