"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
4423678,20,401, 8.4863275E+02, 4.8632809E+02, 1.8554688E+01, 3.8931298E+00,-5.4961830E-01,-1.6717557E+00,-7.2000000E+01,-3.9750000E+01,-1.5210001E+02, 5.3332943E+01, 4.8910000E+01, 9.0585438E+04, 1.0497070E+01, 6.5700001E-01, 0.0000000E+00, 6.1000001E-01,0,0,
4424836,20,401, 8.6816400E+02, 4.7558591E+02, 2.7343748E+01, 2.7938931E+00, 9.1603056E-02, 3.5114503E-01,-7.1850006E+01,-3.7800003E+01,-1.5195001E+02, 5.3524635E+01, 4.8910000E+01, 9.0584211E+04, 1.0459961E+01, 6.4800000E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4425992,20,401, 8.5546869E+02, 4.8242184E+02, 9.2773438E+00, 1.6870229E+00,-1.3740458E+00,-7.6335877E-02,-7.3950005E+01,-3.8550003E+01,-1.5375000E+02, 5.3476711E+01, 4.8910000E+01, 9.0583688E+04, 1.0422852E+01, 6.5700001E-01, 0.0000000E+00, 6.1000001E-01,0,0,
4427149,20,401, 8.7158197E+02, 4.7558591E+02, 1.0742187E+01, 7.0992368E-01,-1.6412214E+00,-3.9770992E+00,-7.2150002E+01,-3.8550003E+01,-1.5120001E+02, 5.3620483E+01, 4.8910000E+01, 9.0587016E+04, 1.0459961E+01, 6.5700001E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4428305,20,401, 8.5449213E+02, 4.8925778E+02, 2.2460936E+01, 2.4198472E+00, 2.2900763E+00,-2.5877862E+00,-7.3050003E+01,-3.8250000E+01,-1.5150000E+02, 5.3332943E+01, 4.8910000E+01, 9.0588070E+04, 1.0448242E+01, 6.4800000E-01, 0.0000000E+00, 6.1799997E-01,0,0,
4429461,20,401, 8.6962885E+02, 4.8144528E+02, 3.0761717E+01, 1.5572519E+00,-5.4961830E-01,-1.4427481E+00,-7.4100006E+01,-3.8250000E+01,-1.5390001E+02, 5.3524635E+01, 4.8919998E+01, 9.0588938E+04, 1.0497070E+01, 6.4800000E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4430617,20,402, 8.6962885E+02, 4.7802731E+02, 1.2207030E+01,-1.5267175E-01,-3.5954199E+00,-2.9770992E+00,-7.3800003E+01,-4.0200001E+01,-1.5285001E+02, 5.3524635E+01, 4.8910000E+01, 9.0588078E+04, 1.0459961E+01, 6.4800000E-01, 0.0000000E+00, 6.1799997E-01,0,0,
4431777,20,402, 8.6425775E+02, 4.9560544E+02, 1.5624999E+01, 2.2213740E+00,-9.6946567E-01,-2.3206108E+00,-7.4100006E+01,-3.9450001E+01,-1.5390001E+02, 5.3332943E+01, 4.8910000E+01, 9.0591758E+04, 1.0411133E+01, 6.5700001E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4432934,20,402, 8.4960931E+02, 4.9072263E+02, 3.9062498E+00, 1.2824427E+00, 2.3664123E-01,-1.9083970E+00,-7.3950005E+01,-3.9300003E+01,-1.5300000E+02, 5.3620483E+01, 4.8910000E+01, 9.0586313E+04, 1.0448242E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
4434094,20,402, 8.6572260E+02, 4.8779294E+02, 1.9042969E+01, 1.8702290E+00, 1.9847329E-01,-1.6259542E+00,-7.3500000E+01,-3.7950001E+01,-1.5180000E+02, 5.3332943E+01, 4.8910000E+01, 9.0587195E+04, 1.0459961E+01, 6.5700001E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4435251,20,402, 8.5009760E+02, 4.7900388E+02, 2.0507811E+01, 4.1984735E+00, 1.8320611E+00,-1.6412214E+00,-7.1400002E+01,-3.8850002E+01,-1.5240001E+02, 5.3524635E+01, 4.8910000E+01, 9.0592641E+04, 1.0411133E+01, 6.4899999E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4436410,20,402, 8.7304681E+02, 4.7949216E+02,-3.4179685E+00,-1.9923664E+00,-1.9083970E+00,-4.2748091E-01,-7.4400002E+01,-3.7350002E+01,-1.5240001E+02, 5.3620483E+01, 4.8919998E+01, 9.0584367E+04, 1.0448242E+01, 6.4899999E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4437567,20,402, 8.6035150E+02, 4.9511716E+02, 2.0019531E+01, 1.0610687E+00, 1.1832061E+00,-2.9847329E+00,-7.3650002E+01,-3.9600002E+01,-1.5195001E+02, 5.3524635E+01, 4.8919998E+01, 9.0584719E+04, 1.0411133E+01, 6.4800000E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4438727,20,402, 8.6572260E+02, 4.7167966E+02, 1.9531250E+01, 2.7862597E+00, 6.8702288E-02, 0.0000000E+00,-7.2000000E+01,-3.8700001E+01,-1.5075000E+02, 5.3285023E+01, 4.8919998E+01, 9.0591219E+04, 1.0459961E+01, 6.4800000E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4439884,20,402, 8.5693353E+02, 4.7949216E+02, 1.4648437E+01, 1.8854961E+00,-4.5496182E+00,-2.8778627E+00,-7.2750000E+01,-3.7950001E+01,-1.5045001E+02, 5.3332943E+01, 4.8919998E+01, 9.0584188E+04, 1.0459961E+01, 6.5700001E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4441041,20,402, 8.5546869E+02, 4.8828122E+02, 1.5624999E+01, 1.4961832E+00,-7.5572521E-01,-1.2290076E+00,-7.3500000E+01,-3.9450001E+01,-1.5360001E+02, 5.3668404E+01, 4.8919998E+01, 9.0588406E+04, 1.0422852E+01, 6.5600002E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4442199,20,402, 8.6328119E+02, 4.9072263E+02, 5.3710933E+00, 2.9160306E+00, 1.9465649E+00,-2.8320611E+00,-7.2600006E+01,-3.7350002E+01,-1.5060001E+02, 5.3620483E+01, 4.8930000E+01, 9.0588422E+04, 1.0448242E+01, 6.4800000E-01, 0.0000000E+00, 6.1000001E-01,0,0,
4443356,20,402, 8.6230463E+02, 4.8535153E+02, 2.0019531E+01, 1.5190840E+00,-2.5877862E+00,-3.2213740E+00,-7.3050003E+01,-3.8700001E+01,-1.5045001E+02, 5.3285023E+01, 4.8930000E+01, 9.0587344E+04, 1.0435547E+01, 6.4800000E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4444513,20,402, 8.7060541E+02, 4.8925778E+02, 8.3007813E+00, 1.6564885E+00,-2.0229008E+00,-1.9465649E+00,-7.2300003E+01,-3.7200001E+01,-1.5465001E+02, 5.3524635E+01, 4.8930000E+01, 9.0585086E+04, 1.0448242E+01, 6.5600002E-01, 0.0000000E+00, 6.1799997E-01,0,0,
4445671,20,402, 8.5986322E+02, 4.8193356E+02, 3.2226563E+01,-1.1603054E+00, 1.2748091E+00,-3.6870229E+00,-7.3650002E+01,-3.7350002E+01,-1.5300000E+02, 5.3476711E+01, 4.8930000E+01, 9.0589281E+04, 1.0448242E+01, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
4446829,20,403, 8.6621088E+02, 4.7705075E+02, 2.4902342E+01, 7.6335878E-03,-1.0610687E+00,-1.6641221E+00,-7.4400002E+01,-4.0350002E+01,-1.5300000E+02, 5.3620483E+01, 4.8930000E+01, 9.0587547E+04, 1.0472656E+01, 6.4899999E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4447985,20,403, 8.5595697E+02, 4.7607419E+02, 1.7089844E+01, 2.3511450E+00, 2.3969467E+00,-2.1068702E+00,-7.4400002E+01,-3.8550003E+01,-1.5120001E+02, 5.3620483E+01, 4.8930000E+01, 9.0587172E+04, 1.0448242E+01, 6.4899999E-01, 0.0000000E+00, 6.1799997E-01,0,0,
4449142,20,403, 8.8525385E+02, 4.8974606E+02, 2.9296873E+00, 1.6412214E+00,-2.5419848E+00,-3.4809160E+00,-7.4850006E+01,-3.7200001E+01,-1.5150000E+02, 5.3668404E+01, 4.8930000E+01, 9.0587172E+04, 1.0485352E+01, 6.5700001E-01, 0.0000000E+00, 6.1000001E-01,0,0,
