"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
2211624,20,238, 8.7402338E+02, 4.5458981E+02, 1.6601563E+01, 6.4122134E-01, 1.9847329E-01,-3.9923663E+00,-7.6650002E+01,-3.9000000E+01,-1.5780000E+02, 4.9067810E+01, 4.4029999E+01, 9.0615391E+04, 1.2797852E+01, 6.3700002E-01, 0.0000000E+00, 6.1799997E-01,0,0,
2212772,20,239, 8.6816400E+02, 4.6582028E+02, 1.8066406E+01, 1.8778626E+00,-6.8396945E+00,-3.8396947E+00,-7.6800003E+01,-3.7050003E+01,-1.5585001E+02, 4.8732353E+01, 4.4029999E+01, 9.0614844E+04, 1.2785156E+01, 6.3700002E-01, 0.0000000E+00, 6.1000001E-01,0,0,
2213925,20,239, 8.9160150E+02, 4.6337888E+02, 1.4648437E+01, 3.8396947E+00, 7.3282444E-01,-4.4580154E+00,-7.8150002E+01,-3.7500000E+01,-1.5570001E+02, 4.8924042E+01, 4.4040001E+01, 9.0617648E+04, 1.2797852E+01, 6.3700002E-01, 0.0000000E+00, 6.1799997E-01,0,0,
2215077,20,239, 8.9062494E+02, 4.6972653E+02, 1.8066406E+01, 2.7862597E+00, 1.4732825E+00,-2.6183207E+00,-7.8750000E+01,-3.7500000E+01,-1.5630000E+02, 4.8876122E+01, 4.4040001E+01, 9.0615578E+04, 1.2797852E+01, 6.2900001E-01, 0.0000000E+00, 6.7799997E-01,0,0,
2216230,20,240, 8.7841791E+02, 4.6630856E+02, 1.1230468E+01, 2.4427481E-01, 1.1221374E+00,-4.6641221E+00,-7.6650002E+01,-3.6750000E+01,-1.5630000E+02, 4.8780273E+01, 4.4040001E+01, 9.0613844E+04, 1.2773438E+01, 6.2900001E-01, 0.0000000E+00, 6.1000001E-01,0,0,
2217382,20,240, 8.7255853E+02, 4.6972653E+02, 1.3183593E+01, 6.6412216E-01,-1.7633588E+00,-2.4427481E+00,-7.6950005E+01,-3.7200001E+01,-1.5570001E+02, 4.8780273E+01, 4.4049999E+01, 9.0615063E+04, 1.2786133E+01, 6.3700002E-01, 0.0000000E+00, 6.1000001E-01,0,0,
2218534,20,240, 8.6181635E+02, 4.7167966E+02, 1.3671874E+01, 2.4656489E+00, 3.5877862E+00,-2.7099237E+00,-7.6500000E+01,-3.8550003E+01,-1.5795001E+02, 4.8924042E+01, 4.4049999E+01, 9.0611578E+04, 1.2737305E+01, 6.3800001E-01, 0.0000000E+00, 6.1100000E-01,0,0,
2219691,20,241, 8.7792963E+02, 4.7656247E+02, 2.6855467E+01, 3.9160306E+00, 1.0839695E+00, 1.0000000E+00,-7.8150002E+01,-3.7950001E+01,-1.5810001E+02, 4.8924042E+01, 4.4060001E+01, 9.0614906E+04, 1.2773438E+01, 6.2900001E-01, 0.0000000E+00, 6.1000001E-01,0,0,
2220844,20,241, 8.7792963E+02, 4.7558591E+02, 1.8066406E+01,-1.8320611E-01,-3.0992367E+00,-3.4732823E+00,-7.7250000E+01,-3.7800003E+01,-1.5615001E+02, 4.8924042E+01, 4.4070000E+01, 9.0615258E+04, 1.2774414E+01, 6.3700002E-01, 0.0000000E+00, 6.1000001E-01,0,0,
2221999,20,241, 8.6767572E+02, 4.6240231E+02, 2.2949217E+01, 2.7557251E+00, 2.2061069E+00,-3.7862597E+00,-7.9050003E+01,-3.7350002E+01,-1.5615001E+02, 4.8876122E+01, 4.4070000E+01, 9.0613188E+04, 1.2786133E+01, 6.2900001E-01, 0.0000000E+00, 6.1000001E-01,0,0,
