"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
5531644,20,418, 7.7197260E+02, 6.8066400E+02, 1.7089844E+01, 7.4809158E-01,-1.3587786E+00,-3.7480917E+00,-5.8950001E+01,-1.0500000E+01,-1.3440001E+02, 5.4962322E+01, 5.0340000E+01, 9.0661273E+04, 9.0410156E+00, 6.5600002E-01, 0.0000000E+00, 6.1699998E-01,0,0,
5532802,20,418, 7.2363275E+02, 8.1738275E+02, 1.0351562E+02, 7.9389316E-01,-4.2748094E+00,-6.4198475E+00,-6.1350002E+01,-1.2000000E+01,-1.3410001E+02, 5.4770630E+01, 5.0330002E+01, 9.0663203E+04, 9.0537109E+00, 6.4800000E-01, 0.0000000E+00, 6.1699998E-01,0,0,
5533959,20,418, 7.5878900E+02, 5.7373047E+02,-4.0039063E+01,-6.4122134E-01,-3.0916030E+00,-2.1526718E+00,-6.1800003E+01,-1.0500000E+01,-1.3365001E+02, 5.4770630E+01, 5.0340000E+01, 9.0665500E+04, 9.0410156E+00, 6.5499997E-01, 0.0000000E+00, 6.1699998E-01,0,0,
5535116,20,418, 7.4609369E+02, 7.4365228E+02,-1.1230468E+01, 2.0381680E+00, 6.6412216E-01,-2.5496182E+00,-6.2700001E+01,-1.0050000E+01,-1.3005000E+02, 5.4914398E+01, 5.0340000E+01, 9.0666375E+04, 9.0537109E+00, 6.5700001E-01, 0.0000000E+00, 6.0900003E-01,0,0,
5536273,20,418, 5.6591797E+02, 5.4150391E+02,-1.9042969E+01, 1.3893130E+00,-1.2290076E+00,-7.7557254E+00,-6.1800003E+01,-9.4500008E+00,-1.3200000E+02, 5.5058167E+01, 5.0349998E+01, 9.0664953E+04, 9.0410156E+00, 6.4899999E-01, 0.0000000E+00, 6.1699998E-01,0,0,
5537430,20,418, 6.0107422E+02, 6.8164056E+02,-1.5087891E+02, 1.7847328E+01,-3.9389312E+00, 1.5083969E+01,-6.0150002E+01,-1.0350000E+01,-1.3065001E+02, 5.4866474E+01, 5.0349998E+01, 9.0668289E+04, 9.0410156E+00, 6.4800000E-01, 0.0000000E+00, 6.0900003E-01,0,0,
5538587,20,418, 5.9179688E+02, 5.5224609E+02,-3.9062498E+00, 2.2519083E+00,-1.5572519E+00,-1.4351145E+00,-6.3000004E+01,-1.0050000E+01,-1.3140001E+02, 5.4770630E+01, 5.0340000E+01, 9.0668313E+04, 9.0283203E+00, 6.4899999E-01, 0.0000000E+00, 6.1000001E-01,0,0,
5539746,20,418, 6.0253906E+02, 7.4804681E+02, 1.1962890E+02, 3.6030533E+00,-4.6106873E+00,-4.1755724E+00,-6.3600002E+01,-1.0200001E+01,-1.2945001E+02, 5.5058167E+01, 5.0340000E+01, 9.0669188E+04, 9.0283203E+00, 6.4800000E-01, 0.0000000E+00, 6.1799997E-01,0,0,
5540901,20,418, 1.0454102E+03, 5.3320313E+02, 5.2734371E+01, 3.8091602E+00, 3.8625953E+00,-3.4198472E+00,-6.3000004E+01,-1.0350000E+01,-1.3140001E+02, 5.4914398E+01, 5.0340000E+01, 9.0669891E+04, 9.0537109E+00, 6.4899999E-01, 0.0000000E+00, 6.1799997E-01,0,0,
5542061,20,418, 7.7001947E+02, 5.9179688E+02,-6.6406250E+01,-1.3129771E+00,-1.9618320E+00, 7.8625953E-01,-6.2700001E+01,-1.0350000E+01,-1.3110001E+02, 5.4914398E+01, 5.0340000E+01, 9.0670953E+04, 9.0283203E+00, 6.4800000E-01, 0.0000000E+00, 6.0900003E-01,0,0,
