"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
4867041,20,416, 8.5253900E+02, 4.7509763E+02, 9.2773438E+00, 1.1603054E+00,-1.0687023E+00,-1.6488550E+00,-7.2750000E+01,-3.8700001E+01,-1.5075000E+02, 5.4147633E+01, 4.9549999E+01, 9.0579219E+04, 9.9541016E+00, 6.4899999E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4868199,20,416, 8.5156244E+02, 4.8437497E+02, 1.9042969E+01, 5.1908398E-01, 1.1984733E+00,-2.8473282E+00,-7.1250000E+01,-3.7200001E+01,-1.5315001E+02, 5.4195557E+01, 4.9560001E+01, 9.0579922E+04, 9.9667969E+00, 6.5700001E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4869356,20,416, 8.6279291E+02, 4.7216794E+02, 1.6113281E+01, 1.4580153E+00,-1.9312977E+00,-3.8167939E-02,-7.2300003E+01,-3.7500000E+01,-1.5150000E+02, 5.4147633E+01, 4.9560001E+01, 9.0579219E+04, 1.0028320E+01, 6.4899999E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4870535,20,416, 8.5986322E+02, 4.8535153E+02, 8.3007813E+00, 7.8625953E-01, 3.5496182E+00,-9.0076333E-01,-7.3050003E+01,-3.5700001E+01,-1.5000000E+02, 5.4147633E+01, 4.9560001E+01, 9.0580633E+04, 9.9667969E+00, 6.4899999E-01, 0.0000000E+00, 6.1600000E-01,0,0,
4871692,20,416, 8.6767572E+02, 5.0683591E+02, 7.3242183E+00, 2.0687022E+00,-2.4427481E+00,-2.5801528E+00,-7.1100006E+01,-3.7800003E+01,-1.5270001E+02, 5.4147633E+01, 4.9570000E+01, 9.0577797E+04, 9.9550781E+00, 6.4800000E-01, 0.0000000E+00, 6.0900003E-01,0,0,
4872850,20,416, 8.7207025E+02, 4.8339841E+02, 1.2695312E+01, 3.0229008E+00, 8.8549620E-01,-4.4580154E+00,-7.1400002E+01,-3.8550003E+01,-1.4880000E+02, 5.4147633E+01, 4.9560001E+01, 9.0578172E+04, 9.9794922E+00, 6.4899999E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4874007,20,416, 8.5546869E+02, 4.8046872E+02, 1.9042969E+01, 1.9160305E+00,-1.6488550E+00,-2.6030533E+00,-7.2750000E+01,-3.6750000E+01,-1.5045001E+02, 5.4051788E+01, 4.9570000E+01, 9.0576922E+04, 9.9550781E+00, 6.4800000E-01, 0.0000000E+00, 6.1000001E-01,0,0,
4875168,20,416, 8.6718744E+02, 4.8193356E+02, 1.7089844E+01, 1.2595420E+00,-2.6259542E+00,-3.2061069E+00,-7.3500000E+01,-3.6750000E+01,-1.5285001E+02, 5.4243477E+01, 4.9570000E+01, 9.0576563E+04, 9.9550781E+00, 6.4899999E-01, 0.0000000E+00, 6.1799997E-01,0,0,
4876326,20,416, 8.5791010E+02, 4.9365231E+02, 2.1484373E+01, 1.2442749E+00,-3.2519083E+00,-2.4809160E+00,-7.3050003E+01,-4.0500000E+01,-1.5285001E+02, 5.4339325E+01, 4.9570000E+01, 9.0581492E+04, 9.9550781E+00, 6.5600002E-01, 0.0000000E+00, 6.1699998E-01,0,0,
4877488,20,416, 8.7597650E+02, 4.7656247E+02, 2.6367186E+01, 1.5725191E+00, 1.8396946E+00,-5.3435117E-01,-7.3800003E+01,-3.9450001E+01,-1.5285001E+02, 5.4003864E+01, 4.9570000E+01, 9.0579734E+04, 9.9550781E+00, 6.4800000E-01, 0.0000000E+00, 6.0900003E-01,0,0,
