"Timestamp (ms)","Ozone (PPB)","Air quality (VOC)","Accelerometer X (milli-g)","Accelerometer Y (milli-g)","Accelerometer Z (milli-g)","Gyroscope X (deg/s)","Gyroscope Y (deg/s)","Gyroscope Z (deg/s)","Magnetometer X (uT)","Magnetometer Y (uT)","Magnetometer Z (uT)","IMU Temperature (C)","BME280 Temperature (C)","Pressure (Pa)","Humidity (%RH)","Ultrasonic 1 (ms)","Ultrasonic 2 (ms)","Ultrasonic 3 (ms)","Vibration 1 Period (ms)","Vibration 2 Period (ms)",
1148,0,0, 2.0507811E+01, 9.9707025E+02,-2.7343748E+01, 8.9312977E-01, 4.1221374E-01,-5.0152674E+00,-2.2350000E+01, 2.9550001E+01,-1.3755000E+02, 4.1687691E+01, 3.8700001E+01, 9.0625914E+04, 1.3775391E+01, 6.2800002E-01, 0.0000000E+00, 6.7000002E-01,0,0,
2289,0,0, 1.5136718E+01, 1.0024413E+03,-3.8085938E+01, 2.9312978E+00,-3.6641222E-01,-3.4961832E+00,-2.5500002E+01, 3.5100002E+01,-1.3785001E+02, 4.2023155E+01, 3.8740002E+01, 9.0626219E+04, 1.3751953E+01, 6.3700002E-01, 0.0000000E+00, 6.7000002E-01,0,0,
3432,0,0, 1.9042969E+01, 1.0063476E+03,-3.9550781E+01,-7.2519082E-01,-1.4732825E+00,-3.2137403E+00,-2.4600000E+01, 3.5400002E+01,-1.3605000E+02, 4.1879387E+01, 3.8759998E+01, 9.0621469E+04, 1.3692383E+01, 6.3700002E-01, 0.0000000E+00, 6.7799997E-01,0,0,
4575,0,0, 8.3007813E+00, 1.0249023E+03,-1.8554688E+01, 2.0076337E+00, 1.0763359E+00,-3.5496182E+00,-2.4000000E+01, 3.6450001E+01,-1.3530000E+02, 4.2262768E+01, 3.8770000E+01, 9.0622703E+04, 1.3657227E+01, 6.2800002E-01, 0.0000000E+00, 6.7799997E-01,0,0,
5719,0,0, 2.3925779E+01, 1.0034179E+03,-3.6132813E+01, 2.1450381E+00, 5.8778626E-01,-2.7022901E+00,-2.5200001E+01, 3.4350002E+01,-1.3440001E+02, 4.2406536E+01, 3.8790001E+01, 9.0624516E+04, 1.3632813E+01, 6.2800002E-01, 0.0000000E+00, 6.7000002E-01,0,0,
6861,0,0, 8.7890625E+00, 9.9999994E+02,-3.6132813E+01, 2.8167939E+00, 1.0076336E+00,-1.1221374E+00,-2.4300001E+01, 3.5700001E+01,-1.3350000E+02, 4.2406536E+01, 3.8799999E+01, 9.0625258E+04, 1.3609375E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
8004,0,0, 8.7890625E+00, 9.9462885E+02,-3.2226563E+01, 1.7938931E+00,-8.3969466E-02,-1.7709924E+00,-2.4000000E+01, 3.4950001E+01,-1.3710001E+02, 4.2118999E+01, 3.8810001E+01, 9.0625617E+04, 1.3596680E+01, 6.2800002E-01, 0.0000000E+00, 6.7000002E-01,0,0,
9147,0,0, 3.9062498E+00, 9.7509760E+02,-2.9785154E+01, 3.1145039E+00,-1.0839695E+00,-2.5267177E+00,-2.4600000E+01, 3.6450001E+01,-1.3605000E+02, 4.2406536E+01, 3.8820000E+01, 9.0627398E+04, 1.3573242E+01, 6.3700002E-01, 0.0000000E+00, 6.7400002E-01,0,0,
10290,0,0, 1.4648437E+01, 1.0078124E+03,-1.9531250E+01, 3.0687022E+00, 4.1984734E-01,-2.1603053E+00,-2.6400002E+01, 3.6750000E+01,-1.3770001E+02, 4.2454460E+01, 3.8830002E+01, 9.0627586E+04, 1.3597656E+01, 6.3700002E-01, 0.0000000E+00, 6.7799997E-01,0,0,
11435,0,0, 1.1230468E+01, 9.9560541E+02,-2.4414061E+01, 3.3664122E+00,-4.1221374E-01,-4.2748091E-01,-2.3400002E+01, 3.6600002E+01,-1.3785001E+02, 4.2454460E+01, 3.8840000E+01, 9.0624500E+04, 1.3561523E+01, 6.2900001E-01, 0.0000000E+00, 6.7000002E-01,0,0,
